word	meaning
そんな暗いところで本を読んだら、目に悪いにきまっている。	그렇게 어두운 곳에서 책을 읽으면 눈에 안 좋기 마련이다.
一日で、レポートを書くなんて、無理にきまっています。	하루만에 레포트를 쓰라니 무리이기 마련입니다.
そりゃ、怒るにきまってるでしょう。	그건 화낼 게 뻔하죠. (당연하죠.)
レポートは10時までに提出すること。	레포트는 10시까지 제출할 것.
図書館の本は必ず、返すこと。	도서관의 책은 반드시 반납할 것.
試験当日は、ペンを忘れないこと。	시험 당일에는 펜을 (가져올 것을) 잊지 않을 것.
漢字は難しくて、なかなか読めません。	한자는 어려워서 좀처럼 읽을 수 없습니다.
私は刺身が食べれません。	저는 회(사시미)를 못 먹습니다.
まだ仕事があるなら、もう少し待ちます。	아직 일이 (남아) 있다면 조금 더 기다리겠습니다.
図書館に行くんなら、私の本も返して！	도서관에 간다면 내 책도 반납해 줘!
早く起きなさい。	어서 일어나세요(일어나렴).
正しい方に丸をつけなさい。	올바른 쪽에 동그라미를 치세요(치렴).
明日映画を見に行こう。	내일 영화를 보러 가자.
雨だから、ピクニックは辞めよう。	비가 오니까, 피크닉은 그만두자(취소하자).
今日は疲れたから早く寝よう。	오늘은 지쳤으니까 빨리 자자.
あなたは明日、何をするつもりですか。	당신은 오늘 어떤 걸 할 생각인가요?
今日からお酒は飲まないつもりです。	오늘부터 술은 마시지 않을 생각입니다.
君を怒らすつもりではなかった。	너를 화나게 할 생각은 없었다.
二度と合わないつもりの「元気でね」。	다시는 만나지 않겠다는 뜻의(작정의) '건강해'.
学生なら、勉強しないと。	학생이라면 공부하지 않으면 (안 된다).
明日は試験だから、早く起きなければならない。	내일은 시험이므로 일찍 일어나지 않으면 안 된다.
約束は守らなくてはいけない。	약속은 지키지 않으면 안 된다.
明日までにレポートを出さなければだめだ。	내일까지 레포트를 제출하지 않으면 안 된다.
今日は早く帰らなきゃ。	오늘은 빨리 돌아가지 않으면 (안 된다).
そろそろ寝なくちゃ。	슬슬 자지 않으면 (안 된다).
チョコケーキが甘すぎる。	초코 케이크가 너무 달다.
食べすぎて、おなかがいっぱいです。	너무 많이 먹어서 배가 불러요.
海に行かずに、山へ行くことにした。	바다에 가지 않고 산에 가기로 했다.
何も食べずに、ずっとゲームばかりしました。	아무것도 먹지 않고 계속 게임만 했습니다.
きのう、部長が出した提案について、私なりに考えてみたけど。	어제 부장님이 내주신 제안에 대해서 나름대로 생각해 봤는데.
自分のペースで、自分なりに楽しみながら続けていきたい。	자신의 페이스로, 나름대로 즐기면서 계속해 나가고 싶다.
弱いなら、弱いなりに頑張らないといけない。	약하면 약한 (나름)대로 열심히 하지 않으면 안 된다.
金持ちには金持ちなりの心配事があるものだ。	부자에게는 부자 나름의 걱정거리가 있게 마련이다.
