word	meaning
まあね	뭐, 그렇지
ありがたい話だよ！	고마운 이야기라고
力説しすぎ！	너무 열변한다
今日は簡単に掃除と、洗濯をお願いします。	오늘은 간단하게 청소와 세탁을 부탁드리겠습니다.
今週はずっと天気が悪くて、土日も雨の予報なんで	이번 주는 계속 날씨가 안 좋아서 주말도 비 예보라서요
自分でも意外でした。	스스로도 의외였어요
こんなに家事にハマルとは。	이렇게나 가사에 빠질 줄이야.
あ、パンツ？下着は入ってないですね。	아, 팬티요? 속옷은 안 들어있네요.
あらかじめ、省いたみたいです。	미리 빼 놓은 모양이에요.
家では父の下着も洗ってるんで、私の方は気にしないんですけど、	집에서는 아빠 속옷도 빨고 있으니까 저는 신경 쓰지 않지만,
雇用主の方は気になさったみたいです。	고용주께서는 신경 쓰이신 모양이에요.
私が年下だからかもしれません。	제가 연하라서 그럴지도 몰라요.
心理学も少しは役に立ってます。	심리학도 조금은 도움이 돼요.
雇用主が何を嫌って、何が大丈夫か、線引きは何となく	고용주가 무엇을 싫어하고 무엇을 괜찮아하는지 선은 대략 알 것 같아요.
おはようございます	좋은 아침입니다
おじゃまします	실례하겠습니다
先週のこれ、買えなかったんで、買い物をお願いします。	지난 주에 이걸 못 사서 장보기를 부탁드릴게요.
一緒にこれも。	이것도 같이요.
代金はここから	대금은 여기서 써 주세요
わかりました	알겠습니다
こころがけとはちょっと違うんですけど、毎回どこか、一カ所多く掃除してます。	마음가짐이라는 것과는 조금 다르지만 매번 어딘가 한 군데 더 청소하고 있어요.
時間内ですけど。	시간 내이긴 하지만요.
今日は網戸を。	오늘은 방충망을.
これは石鹸水です。	이건 비눗물이에요.
伝線したストッキング。	올 나간 스타킹
ただです	공짜죠
彼女にとって、これは臨時の仕事にすぎない。	그녀에게, 이것은 임시적인 일에 니자니 않는다.
週に一度三時間。	일주일에 한 번 3시간.
月収に換算すると、わずか2万4000円。	월수입으로 환산하면 고작 24,000엔
この仕事を続けたところで、彼女の希望が叶うわけではない。	이 일을 계속한다고 해서 그녀의 희망이 이뤄지는 건 아니다.
なのになぜ彼女は、懸命に働くのだろう	그런데 어째서 그녀는, 열심히 일하는 것일까
誰にも見られてなくても、気づかれない努力だとしても、	아무에게도 보여지지 않더라도, 알아차려 주지 않는 노력이라고 해도
それでも、頑張ることって、大切だと思うんです。	그래도 열심히 하는 건 중요하다고 생각해요
それが、プロフェッショナル。	그게 프로페셔널.
私の、仕事の流儀です。	저의 일하는 방식이에요.
