word	meaning
みくりさんは、平匡のどこが良かったの	미쿠리 씨는 히라마츠의 어떤 점이 좋았어요?
いま聞かなくても	지금 물어보지 않아도...
いつ聞くんよ	언제 물어보는데?
え、そうですね。指示が具体的で明確。無駄が無いんです。	그러네요. 지시가 구체적이고 명확한 것. 군더더기가 없어요.
それから、突拍子のない提案に対しても、現実的な解決策を探ってくれる。	그리고, 엉뚱한 제안에 대해서도, 현실적인 해결책을 찾아 줘서.
非常に好ましいです	상당히 마음에 들었습니다.
上司を褒めてるみたいだな	상사를 칭찬하는 것 같네.
ちゃちゃいれない	훼방 놓지 마.
とても信頼できる、頼りがいのある人だと思いました	무척 신뢰할 수 있는, 의지할 만한 사람이라고 생각했습니다.
平匡さんは、みくりのどこが良かったの?	히라마사 씨는 미쿠리 씨의 어디가 좋았어요?
まあ、取り柄と言えば若さだけじゃないですか?	뭐~ 장점이라고 한다면 젊다는 것뿐이잖아요?
パパ!ごめんね、みくりちゃん	여보~ 미안해, 미쿠리 쨩
いえ、そのとおりで	아니에요, 그 말대로라서
いえ、そんなことはないです。	아니요, 그렇지는 않습니다.
みくりさんは何でもできて、僕にはもったいない人です。	미쿠리 씨는 뭐든 잘 해서 제게는 아까운 사람입니다.
むしろ、森山家の皆さんに申し訳ないと	오히려 모리야마 가 여러분께 죄송스럽다고...
いや、こっちこそ。まさか京大出身の息子ができるなんて、ねえ	아니, 저희야말로. 설마 교토대 출신의 아들이 생길 줄이야. 그렇지?
父も母も想像以上に、がっかりしたり、喜んだりしてくれて。	아빠도 엄마도 상상 이상으로, 실망하거나 기뻐하거나 해 줘서
結婚という言葉の重さを、ずしっと。今さらですが	결혼이라는 말의 무게를 훅 하고. 새삼스럽지만요.
僕はむしろ、ホッとしました。肩の荷が下りた。	전 오히려 마음이 놓였어요. 어깨의 짐을 내려놨어요.
僕は父の望むような息子にはなれないので、	저는 아버지가 원하는 아들이 될 수 없기 때문에
たとえ真実じゃなかったとしても、喜んでもらえたならいいと。	설마 진실이 아니었더라도 기뻐해 주셨으면 됐다고.
両親を安心させられたという点においても、今回のことは有意義でした	부모님을 안심시켰다는 점에서도, 이번 일은 의의가 있었습니다.
良かったぁあ。津崎さんが後悔してたらどうしようかと。	다행이다. 츠자키 씨가 후회하면 어쩌나 하고...
嘘つかないといけないし、重いことさせちゃってるかなって。	거짓말하지 않으면 안 되고, 힘든 일을 하게 만든 건가 하고...
周りを説得する自信がないから普通の結婚のふりをするって、逃げといえば逃げだし	주변을 설득할 자신이 없으니까 평범한 결혼인 척하는 건, 도망이라고 하면 도망이고.
逃げたっていいじゃないですか。	도망쳐도 괜찮잖아요.
ハンガリーにこういうことわざがあります。	헝가리에 이런 속담이 있습니다.
『逃げるのは恥、だけど、役に立つ』	"도망치는 건 부끄러워도, 도움이 된다"
役に立つ?	도움이 된다?
後ろ向きな選択だっていいじゃないか。	소극적인 선택이라도 괜찮지 않은가?
恥ずかしい逃げ方だったとしても、生き抜くことの方が大切で、	부끄럽게 도망쳤다고 해도 살아남는 쪽이 중요하고,
その点においては異論も反論も認めない	그 점에 있어서는 이론도 반론도 인정하지 않는다
逃げるのは恥だけど、役に立つ。そうですね。	도망치는 건 부끄러워도, 도움이 된다. 그렇네요.
逃げても生き抜きましょう。オブジェクションしてる場合じゃありません	도망치더라도 이겨내요. 이의 제기하고 있을 때가 아니에요.
あの、こないだも思ったんですけど。	저기... 지난번에도 생각했는데요,
『異論!反論!オブジェクション』って結構古いですよね。なんで知ってるんですか	'이론! 반론! 오브젝션'은 꽤 옛날 거잖아요. 어떻게 아세요?
歳はごまかしてないですよ。父が好きでよく見てて	나이는 속이지 않았어요. 아빠가 좋아해서 자주 봐서
ホントにお父さんにそっくりですよね	정말 아버님과 똑 닮았네요.
やめてください。津崎さんこそ!古いことや難しいこと、たくさん知ってそうです	그만 하세요, 츠자키 씨야말로 오래된 것이나 어려운 것 많이 알고 있을 것 같아요
そうでしょうか	그런가요?
