word	meaning
いません	없어요.
まだお若いですし、合コンとかお見合いとか、その、婚活っていうんですか、	아직 젊으시니까 미팅이나 맞선이나 그런 혼활이라고 하나요?
そういうのをすれば、いくらでも結婚できるんじゃないでしょうか	그런 걸 하시면 얼마든지 결혼할 수 있지 않을까요?
ごめんなさい。	죄송합니다.
違うんです。	그렇지 않아요.
結婚がしたかったわけじゃないんです	결혼이 하고 싶었던 게 아니에요.
契約結婚にこだわりが？	계약 결혼을 고집하시는 건가요?
それも違いまして	그것도 아니에요.
私、就職活動で全敗だったんです。	저, 취직 활동에서 전멸했어요.
大学卒業の時も、大学院出てからも、どっちも。	대학 졸업 때도, 대학원을 나온 후에도 둘 다.
派遣先でも、私ともう一人、どっちかっていう局面で、やっぱり選ばれなくて	파견처에서도 저와 다른 한 명 둘 중 하나라는 국면에서 역시 선택받지 못해서
誰にも認めてもらえなくても、自分は自分として	누구에게도 인정받지 못하더라도, 나는 나로서 열심히 하면 된다고
頑張ればいいって、わかっちゃいるんですけど。	힘내면 된다고, 알고 있긴 하지만
だから、津崎さんが、網戸に気づいてくれたり、家事をお願いして良かったって、	그래서 츠자키 씨가 방충망을 알아채주시거나 가사를 부탁하길 잘했다고
もっと続けて欲しかったって言ってくれた時、ぱーって、これだって、思っちゃって。	좀 더 계속해주실 바랐다고 말해줬을 때, 확 하고 '이거다' 싶어서...
嬉しくなっちゃって、あんなこと。	기뻐져서는 그런 말을...
すいません、突拍子もないこと。	죄송합니다. 엉뚱한 소리를 해서.
うちの家系なんです。	저희 집안 내력이에요.
父譲りで。	아빠를 닮아서.
忘れてください	잊어 주세요.
誰かに、誰かに選んでほしい。	누군가에게, 누군가에게 선택받고 싶다.
ここにいていいんだって、認めて欲しい。	여기에 있어도 괜찮다고 인정받고 싶다.
それは、贅沢なんだろうか	그것은 사치스러운 것일까.
みんな、誰かに必要とされたくて、でも、うまくいかなくて。	다들 누군가가 필요로 해주기를 바라서, 하지만 잘 되지 않아서.
いろんな気持を、ちょっとずつ諦めて。	이런저런 마음을 조금씩 포기하면서.
泣きたい気持を、笑い飛ばして。	울고 싶은 마음을 웃어넘기고.
そうやって、生きているのかもしれない	그렇게 살아가고 있는 것일지도 모른다.
