word	meaning
……クビ……ですか？	……해고……말인가요?
クビって。契約終了って言ってよ	해고라고. 계약 종료라고 말해줘
……ひと月後には、無職ってことですか……	……한 달 후에는, 무직인 걸까요……
派遣社員を減らすっていう上の方針でねえ	파견 직원을 줄이는 윗선의 방침으로
てことは、同じく派遣社員の川崎さんも契約終了ですか？	그렇다는 건, 같은 파견 사원의 카와사키씨도 계약 종료입니까?
彼女の方は、延長	그녀 쪽은, 연장
どっちか一人選べって、上に言われちゃってさぁ、参っちゃったよぉ	윗쪽에서 한 명을 골라야 한다는 말이 나와서, 곤란했다고
……私は選ばれなかった……	……나는 선택되지 않았다……
君にはさ、うちなんかよりいいとこあるんじゃないかなぁ。	너에게는, 우리 뭔가보다 좋은 곳이 있지 않은가.
大学院まで出て、優秀？なんだし。	대학원까지 나왔고, 우수? 하고.
あ、これ洗っといて	아, 이거 씻어 줘.
先日まで家事代行の会社と契約をしてたんですが、そのことは聞きましたか	얼마 전까지 가사 대행 회사와 계약을 맺었지만 그 이야기는 들은 적 있습니까?
ゴミをあさられたとか	쓰레기를 뒤지셨다고요
捨てたはずの物が机の上に置いてあって、そういうのいやなんで、ゴミをあさったり、あちこち勝手にあけたりしないでください	버렸던 물건이 책상 위에 놓여 있었어요. 그런 건 싫으니까, 쓰레기를 뒤지거나 여기저기 멋대로 열지 말아 주세요.
そう苦情を言ったら、次の人は大雑把で、四角い部屋を丸くはくような人で、チェンジしてもらって。	그렇게 불평을 했더니 그 다음에 온 사람을 대충대충 해서 네모난 방을 동그랗게 닦을 것 같은 사람이라 바꿔 달라고 하고
その次もまたチェンジして。	그 다음에도 또 교체를 하고
案外難しいなぁと思っていたら、森山さんが……お父様の方の森山さんが	의외로 어렵다고 생각했던 중 모리야마 씨가, 아버지 쪽의 모리야마 씨가
うちの娘は掃除に長けていると熱心なプレゼンを。	우리 딸은 청소에 뛰어나다며 열심히 설명을 하셨어요.
お母様譲りだとか	어머님을 닮은 거라고 하시면서
はい！母はずっと清掃のパートをしてまして、この七つ道具も母の物で	네, 어머니는 줄곧 청소 파트타임을 하셔서 이 7개의 도구도 어머니의 것이고
掃除はきっちりしてください。	청소는 확실하게 해 주세요
水回りは重点的に、窓ふきもお願いします。	배수 공간은 중점적으로, 창 닦는 것도 부탁드립니다.
これ、今日の分の料金です	이거, 오늘치 요금입니다.
前払いですか	선불인가요?
来週からもお願いするかどうか、部屋の状態を見て決めさせてもらいます	다음 주부터도 맡길지 어떨지는 방의 상태를 보고 결정하겠습니다.
採用試験のような	채용 시험 같은 것
はい。不採用なら、それっきり、二度と会わずに済むように、支払いは先に。	네, 채용이 되지 않는다면 그걸로 끝, 두 번 다시 만나도 않을 수 있게 먼저 지불해 드립니다.
不快ならすみません。	불쾌하셨다면 죄송합니다.
すばらしいです。合理的で。	굉장하네요, 합리적이고.
指示も的確で、大変よく分かりました	지시도 적확해서 아주 잘 알겠습니다.
……終わったら鍵を掛けて、1階のポストにいれておいてください。	끝나면 열쇠를 잠그고 1층 우편함에 넣어 주세요.
ぼくは会社に行きます	저는 회사에 갑니다.
はい。いってらっしゃい	네, 안녕히 다녀오세요.
家事が仕事になるとは思ってもみなかったし、大学で学んだことは何一つ役に立ってはいないけど。	집안일이 업무가 될 거라고는 생각해 본 적 없고, 대학에서 배운 것은 어떤 하나도 도움이 되지 않지만
これはこれで、楽しかったりして。	이건 이거대로 즐겁기도 해서
やるからには、採用めざして、頑張りましょう！	하기로 한 이상 채용을 목표로 힘내 봅시다
