word	furigana	meaning
本日	ほんじつ	오늘, 금일
需要	じゅよう	수요
契約結婚	けいやくけっこん	계약결혼
供給	きょうきゅう	공급
迎える	むかえる	맞이하다, 모시다
結びつく	むすびつく	맺어지다, 이어지다
お迎えする	おむかえする	맞이하다
生まれる	うまれる	태어나다, 생기다
先日	せんじつ	며칠 전, 얼마 전
婚姻届	こんいんとどけ	혼인신고(서)
就職活動	しゅうしょくかつどう	취직활동
状態	じょうたい	상태
失敗	しっぱい	실패
同居	どうきょ	동거
派遣先	はけんさき	파견처(장소)
生計	せいけい	생계
切る	きる	자르다
同一	どういつ	동일, 같음, 일치
困る	こまる	곤란하다
場合	ばあい	경우
家事代行	かじだいこう	가사대행
指す	さす	가르키다
可能性	かのうせい	가능성
事情	じじょう	사정
気づく	きづく	깨닫다, 알아차리다
制度	せいど	제도
提案	ていあん	제안
縛る	しばる	묶다, 매다, 결박하다
乗る	のる	타다, (제안에) 동의하다, 편승하다
理由	りゆう	이유
晴れる	はれる	(날이) 개다, 근심걱정이 사라지다
選択	せんたく	선택
専業主婦	せんぎょうしゅふ	전업주부
増える	ふえる	늘다, 증가하다
雇用形態	こようけいたい	고용형태
理解	りかい	이해
男女	だんじょ	남녀
得る	える	얻다
逆	ぎゃく	반대, 역
対外的	たいがいてき	대외적
成り立つ	なりたつ	성립
普通	ふつう	보통
思う	おもう	생각하다
押し進める	おしすすめる	밀어붙이다, 추진하다
決める	きめる	결정하다
