word	meaning
母に日記を読まれて、困る。	엄마에게 일기를 읽혀서 곤란하다.
与えられた仕事は、ちゃんとこなす。	주어진 일은 착실히 처리한다.
愛されるより愛したい。	사랑받기보다는 사랑하고 싶다.
朝起きて、顔を洗う。	아침에 일어나서 세수를 한다.
宿題をして、寝ました。	숙제를 하고 잤습니다.
電気をつけて、部屋を明るくする。	전기를 켜서 방을 밝게 한다.
バスに乗って、学校に行きます。	버스를 타고 학교에 갑니다.
けんかをして、怒られた。	싸움을 해서 화가 났다.
風邪をひいて、学校を休みました。	감기에 걸려서 학교를 쉬었습니다.
このビルの高さは何メートルですか。	이 빌당의 높이는 몇 미터입니까?
君がいなくなってはじめて君の大切さを知った。	네가 없어져서 처음으로 너의 소중함을 알았다.
山田さんは本を読んで(い)る。	야마무라 씨는 책을 읽고 있다.
一日中、雨が降っています。	하루 종일 비가 오고 있습니다.
部屋の電気がついている。	방의 전기가 켜져 있습니다.
車が止まっています。	차가 멈춰 있습니다.
今、駅に来ています。	지금 역에 와 있습니다.
その話はもう聞いている。	그 이야기는 벌써 들었다.
今、ご飯食べてる。	지금 밥을 먹고 있다.
まだ、朝ご飯も食べてない。	아직 아침밥도 먹지 않았지.
遅くなるから、先に食べてていいよ。	늦어질 것이기 때문에 먼저 먹어도 괜찮아.
約束した以上、守るべきだと思う。	약속한 이상 지켜야 한다고 생각한다.
学生である以上、勉強を第一にした方がいい。	학생인 이상, 공부를 최우선으로 하는 쪽이 좋다.
無事に目的地に着いた。	무사히 목적지에 도착했다.
会議は3時に終わった。	회의는 3시에 끝났다.
きのう、レポートを書いたのに、提出できなかった。	어제 레포트를 작성했지만 제출하지 못했다.
朝起きて、ジュースを飲んだ。	아침에 일어나서 쥬스를 마셨다.
先月、卒業しました。	저번 달 졸업했습니다.
帽子をかぶった男です。	모자를 쓴 남자입니다.
壁にかけた絵。	벽에 걸친 그림.
観光客として、日本に来たことがある。	관광객으로서 일본에 온 적이 있다.
彼女は歌手としてより、俳優として有名だ。	그녀는 가수로서보다 배우로 유명하다.
よく考えた上で、お返事をください。	잘 생각한 후에 답장해 주세요.
私の話を聞いた上で、罪を認めるか考えてください。	내 이야기를 듣고 죄를 인정할지 생각해 보십시오.
どの大学に進学するかは、両親との相談の上で、決めます。	어느 대학에 진학할지는 부모님과 상담하여 결정합니다.
彼が優勝するとは、誰も予想しなかった。	그가 우승할 것이라고는 아무도 생각하지 못했다.
まさか、営業部長が反対の意見を言うとは、意外でした。	설마, 영업부장이 반대 의견을 말한다고는. 의외였다.
私の誕生日を覚えてくれるなんて、思いもしなかった、ありがとう!	내 생일을 기억해 준다고 생각하지 않았어. 고마워!
